ENER_NO,COMPLEXCODE,ENER_DT,HEAT_AMOUNT,HEAT_USAGE,WATERHOT_AMOUNT,WATERHOT_USAGE,GAS_AMOUNT,GAS_USAGE,ELEC_AMOUNT,ELEC_USAGE,WATER_AMOUNT,WATER_USAGE
339,A10023656,202101,0,0,0,0,0,0,0,0,0,0
340,A10023656,202102,0,0,0,0,0,0,0,0,0,0
341,A10023656,202103,0,0,0,0,0,0,0,0,0,0
342,A10023656,202104,0,0,0,0,0,0,0,0,0,0
343,A10023656,202105,0,0,0,0,0,0,0,0,0,0
344,A10023656,202106,0,0,0,0,0,0,0,0,0,0
345,A10023656,202107,0,0,0,0,0,0,0,0,0,0
346,A10023656,202108,0,0,0,0,0,0,0,0,0,0
347,A10023656,202109,0,0,0,0,0,0,0,0,0,0
348,A10023656,202110,0,0,0,0,0,0,0,0,0,0
349,A10023656,202111,0,0,0,0,0,0,0,0,0,0
350,A10023656,202112,0,0,0,0,0,0,0,0,0,0
351,A10023656,202201,0,0,0,0,0,0,0,0,0,0
352,A10023656,202202,0,0,0,0,0,0,0,0,0,0
353,A10023656,202203,0,0,0,0,0,0,0,0,0,0
354,A10023656,202204,0,0,0,0,0,0,0,0,0,0
355,A10023656,202205,0,0,0,0,0,0,0,0,0,0
356,A10023656,202206,0,0,0,0,0,0,0,0,0,0
357,A10023656,202207,0,0,0,0,0,0,0,0,0,0
358,A10023656,202208,0,0,0,0,0,0,0,0,0,0
359,A10023656,202209,9428259,12,2975000,595,0,0,11418760,55161,3543020,3500
360,A10023656,202210,16011520,84,12175000,2435,0,0,30176750,116138,6163820,6797
361,A10023656,202211,22604330,139,14680000,2936,0,0,22027303,130642,7573820,7513
362,A10023656,202212,52099450,398,16460000,3292,930,0,33024920,140450,7430820,7610
363,A10023656,202301,50453180,363,17235000,3447,2790,0,38616720,143436,6709820,7753
364,A10023656,202302,38030930,246,15995000,3199,1870,0,41280310,129299,6918820,7134
365,A10023656,202303,23352440,112,19220000,3844,1860,0,27592960,151922,8851820,8882
366,A10023656,202304,11792780,32,18660000,3732,1860,0,34739980,155260,8589820,9165
367,A10023656,202305,4648210,5,18735000,3747,1860,0,36460540,167372,9014820,9899
368,A10023656,202306,2947070,1,15140300,3010,2800,0,39968810,186127,10651320,9678
369,A10023656,202307,-483750,0,13765000,2753,1860,0,57483170,251895,10692020,10104
370,A10023656,202308,-1309440,0,12460000,2492,1860,0,65531350,286025,10969220,10054
371,A10023656,202309,1970190,1,13290000,2658,2820,0,44288930,193346,9978120,9556
372,A10023656,202310,5302570,21,17495000,3499,1860,0,36836920,164412,10474220,9908
373,A10023656,202311,21749350,152,18740000,3748,2830,0,38629810,167442,10100220,9642
374,A10023656,202312,43431980,327,20800000,4160,1860,0,43790050,181014,10717320,9917
375,A10023659,201401,0,0,0,0,0,0,0,0,0,0
376,A10023659,201402,0,0,0,0,0,0,0,0,0,0
377,A10023659,201403,0,0,0,0,0,0,0,0,0,0
378,A10023659,201404,0,0,0,0,0,0,0,0,0,0
379,A10023659,201405,0,0,0,0,0,0,0,0,0,0
380,A10023659,201406,0,0,0,0,0,0,0,0,0,0
381,A10023659,201407,0,0,0,0,0,0,0,0,0,0
382,A10023659,201408,0,0,0,0,0,0,0,0,0,0
383,A10023659,201409,0,0,0,0,0,0,0,0,0,0
384,A10023659,201410,0,0,0,0,0,0,0,0,0,0
385,A10023659,201411,0,0,0,0,0,0,0,0,0,0
386,A10023659,201412,0,0,0,0,0,0,0,0,0,0
387,A10023659,201501,0,0,0,0,0,0,0,0,0,0
388,A10023659,201502,0,0,0,0,0,0,0,0,0,0
389,A10023659,201503,0,0,0,0,0,0,0,0,0,0
390,A10023659,201504,0,0,0,0,0,0,0,0,0,0
391,A10023659,201505,0,0,0,0,0,0,0,0,0,0
392,A10023659,201506,0,0,0,0,0,0,0,0,0,0
393,A10023659,201507,0,0,0,0,0,0,0,0,0,0
394,A10023659,201508,0,0,0,0,0,0,0,0,0,0
395,A10023659,201509,0,0,0,0,0,0,0,0,0,0
396,A10023659,201510,0,0,0,0,0,0,0,0,0,0
397,A10023659,201511,0,0,0,0,0,0,0,0,0,0
398,A10023659,201512,0,0,0,0,0,0,0,0,0,0
399,A10023659,201601,0,0,0,0,0,0,0,0,0,0
400,A10023659,201602,0,0,0,0,0,0,0,0,0,0
401,A10023659,201603,0,0,0,0,0,0,0,0,0,0
402,A10023659,201604,0,0,0,0,0,0,0,0,0,0
403,A10023659,201605,0,0,0,0,0,0,0,0,0,0
404,A10023659,201606,0,0,0,0,0,0,0,0,0,0
405,A10023659,201607,0,0,0,0,0,0,0,0,0,0
406,A10023659,201608,0,0,0,0,0,0,0,0,0,0
407,A10023659,201609,0,0,0,0,0,0,0,0,0,0
408,A10023659,201610,0,0,0,0,0,0,0,0,0,0
409,A10023659,201611,0,0,0,0,0,0,0,0,0,0
410,A10023659,201612,0,0,0,0,0,0,0,0,0,0
411,A10023659,201701,0,0,0,0,0,0,0,0,0,0
412,A10023659,201702,0,0,0,0,0,0,0,0,0,0
413,A10023659,201703,0,0,0,0,0,0,0,0,0,0
414,A10023659,201704,0,0,0,0,0,0,0,0,0,0
415,A10023659,201705,0,0,0,0,0,0,0,0,0,0
416,A10023659,201706,0,0,0,0,0,0,0,0,0,0
417,A10023659,201707,0,0,0,0,0,0,0,0,0,0
418,A10023659,201708,0,0,0,0,0,0,0,0,0,0
419,A10023659,201709,0,0,0,0,0,0,0,0,0,0
420,A10023659,201710,0,0,0,0,0,0,0,0,0,0
421,A10023659,201711,0,0,0,0,0,0,0,0,0,0
422,A10023659,201712,0,0,0,0,0,0,0,0,0,0
423,A10023659,201801,0,0,0,0,0,0,0,0,0,0
424,A10023659,201802,0,0,0,0,0,0,0,0,0,0
425,A10023659,201803,0,0,0,0,0,0,0,0,0,0
426,A10023659,201804,0,0,0,0,0,0,0,0,0,0
427,A10023659,201805,0,0,0,0,0,0,0,0,0,0
428,A10023659,201806,0,0,0,0,0,0,0,0,0,0
429,A10023659,201807,0,0,0,0,0,0,0,0,0,0
430,A10023659,201808,0,0,0,0,0,0,0,0,0,0
431,A10023659,201809,0,0,0,0,0,0,0,0,0,0
432,A10023659,201810,0,0,0,0,0,0,0,0,0,0
